timestamp,station_id,city,temperature,pressure,humidity,quality,event,fault_label
2026-08-01T00:00:00+00:00,AWS-I-003,Ichalkaranji,24.33,945.57,70.33,GOOD,normal,0
2026-08-01T01:00:00+00:00,AWS-I-003,Ichalkaranji,24.55,946.08,70.22,GOOD,normal,0
2026-08-01T02:00:00+00:00,AWS-I-003,Ichalkaranji,24.04,945.95,70.79,GOOD,normal,0
2026-08-01T03:00:00+00:00,AWS-I-003,Ichalkaranji,24.63,946.11,71.57,GOOD,normal,0
2026-08-01T04:00:00+00:00,AWS-I-003,Ichalkaranji,25.76,945.85,67.41,GOOD,normal,0
2026-08-01T05:00:00+00:00,AWS-I-003,Ichalkaranji,26.69,946.68,64.21,GOOD,normal,0
2026-08-01T06:00:00+00:00,AWS-I-003,Ichalkaranji,27.94,946.8,64.53,GOOD,normal,0
2026-08-01T07:00:00+00:00,AWS-I-003,Ichalkaranji,29.06,946.39,60.2,GOOD,normal,0
2026-08-01T08:00:00+00:00,AWS-I-003,Ichalkaranji,29.73,946.33,59.61,GOOD,normal,0
2026-08-01T09:00:00+00:00,AWS-I-003,Ichalkaranji,30.83,946.34,57.76,GOOD,normal,0
2026-08-01T10:00:00+00:00,AWS-I-003,Ichalkaranji,31.84,946.87,58.83,GOOD,normal,0
2026-08-01T11:00:00+00:00,AWS-I-003,Ichalkaranji,31.2,946.81,55.35,GOOD,normal,0
2026-08-01T12:00:00+00:00,AWS-I-003,Ichalkaranji,32.68,947.04,53.72,GOOD,normal,0
2026-08-01T13:00:00+00:00,AWS-I-003,Ichalkaranji,31.63,946.99,57.57,GOOD,normal,0
2026-08-01T14:00:00+00:00,AWS-I-003,Ichalkaranji,31.35,946.41,58.61,GOOD,normal,0
2026-08-01T15:00:00+00:00,AWS-I-003,Ichalkaranji,31.15,947.53,56.59,GOOD,normal,0
2026-08-01T16:00:00+00:00,AWS-I-003,Ichalkaranji,30.04,947.85,60.45,GOOD,normal,0
2026-08-01T17:00:00+00:00,AWS-I-003,Ichalkaranji,29.0,947.84,64.18,GOOD,normal,0
2026-08-01T18:00:00+00:00,AWS-I-003,Ichalkaranji,27.99,947.82,67.72,GOOD,normal,0
2026-08-01T19:00:00+00:00,AWS-I-003,Ichalkaranji,26.78,947.38,65.3,GOOD,normal,0
2026-08-01T20:00:00+00:00,AWS-I-003,Ichalkaranji,25.61,947.6,67.15,GOOD,normal,0
2026-08-01T21:00:00+00:00,AWS-I-003,Ichalkaranji,24.82,947.66,69.17,GOOD,normal,0
2026-08-01T22:00:00+00:00,AWS-I-003,Ichalkaranji,24.45,947.84,72.04,GOOD,normal,0
2026-08-01T23:00:00+00:00,AWS-I-003,Ichalkaranji,24.07,947.55,70.56,GOOD,normal,0
2026-08-02T00:00:00+00:00,AWS-I-003,Ichalkaranji,24.47,947.81,73.32,GOOD,normal,0
