timestamp,station_id,city,temperature,pressure,humidity,quality,event,fault_label
2026-08-01T00:00:00+00:00,AWS-P-003,Panvel,25.23,1010.01,83.99,GOOD,normal,0
2026-08-01T01:00:00+00:00,AWS-P-003,Panvel,25.67,1009.77,84.03,GOOD,normal,0
2026-08-01T02:00:00+00:00,AWS-P-003,Panvel,25.22,1008.62,84.16,GOOD,normal,0
2026-08-01T03:00:00+00:00,AWS-P-003,Panvel,26.53,1010.45,80.27,GOOD,normal,0
2026-08-01T04:00:00+00:00,AWS-P-003,Panvel,27.32,1009.31,81.84,GOOD,normal,0
2026-08-01T05:00:00+00:00,AWS-P-003,Panvel,27.82,1010.08,79.91,GOOD,normal,0
2026-08-01T06:00:00+00:00,AWS-P-003,Panvel,29.97,1009.3,73.2,GOOD,normal,0
2026-08-01T07:00:00+00:00,AWS-P-003,Panvel,30.51,1010.38,72.11,GOOD,normal,0
2026-08-01T08:00:00+00:00,AWS-P-003,Panvel,31.13,1010.39,72.85,GOOD,normal,0
2026-08-01T09:00:00+00:00,AWS-P-003,Panvel,32.51,1009.94,69.05,GOOD,normal,0
2026-08-01T10:00:00+00:00,AWS-P-003,Panvel,32.85,1010.7,69.42,GOOD,normal,0
2026-08-01T11:00:00+00:00,AWS-P-003,Panvel,32.99,1010.21,66.66,GOOD,normal,0
2026-08-01T12:00:00+00:00,AWS-P-003,Panvel,32.85,1011.87,63.87,GOOD,normal,0
2026-08-01T13:00:00+00:00,AWS-P-003,Panvel,33.09,1011.01,65.53,GOOD,normal,0
2026-08-01T14:00:00+00:00,AWS-P-003,Panvel,32.94,1009.59,65.56,GOOD,normal,0
2026-08-01T15:00:00+00:00,AWS-P-003,Panvel,31.54,1010.86,71.02,GOOD,normal,0
2026-08-01T16:00:00+00:00,AWS-P-003,Panvel,30.84,1010.07,70.81,GOOD,normal,0
2026-08-01T17:00:00+00:00,AWS-P-003,Panvel,30.27,1011.86,73.38,GOOD,normal,0
2026-08-01T18:00:00+00:00,AWS-P-003,Panvel,29.12,1011.98,72.87,GOOD,normal,0
2026-08-01T19:00:00+00:00,AWS-P-003,Panvel,28.49,1010.25,77.52,GOOD,normal,0
2026-08-01T20:00:00+00:00,AWS-P-003,Panvel,28.12,1011.72,76.92,GOOD,normal,0
2026-08-01T21:00:00+00:00,AWS-P-003,Panvel,26.36,1012.23,81.27,GOOD,normal,0
2026-08-01T22:00:00+00:00,AWS-P-003,Panvel,26.43,1011.81,82.31,GOOD,normal,0
2026-08-01T23:00:00+00:00,AWS-P-003,Panvel,24.81,1010.15,82.47,GOOD,normal,0
2026-08-02T00:00:00+00:00,AWS-P-003,Panvel,25.43,1012.41,84.26,GOOD,normal,0
2026-08-02T01:00:00+00:00,AWS-P-003,Panvel,25.26,1011.86,82.44,GOOD,normal,0
2026-08-02T02:00:00+00:00,AWS-P-003,Panvel,25.68,1011.37,83.13,GOOD,normal,0
2026-08-02T03:00:00+00:00,AWS-P-003,Panvel,26.55,1011.16,84.23,GOOD,normal,0
2026-08-02T04:00:00+00:00,AWS-P-003,Panvel,27.36,1013.4,80.55,GOOD,normal,0
2026-08-02T05:00:00+00:00,AWS-P-003,Panvel,28.6,1011.59,77.34,GOOD,normal,0
2026-08-02T06:00:00+00:00,AWS-P-003,Panvel,29.62,1012.33,75.89,GOOD,normal,0
2026-08-02T07:00:00+00:00,AWS-P-003,Panvel,30.71,1012.54,74.34,GOOD,normal,0
2026-08-02T08:00:00+00:00,AWS-P-003,Panvel,31.46,1011.62,68.24,GOOD,normal,0
2026-08-02T09:00:00+00:00,AWS-P-003,Panvel,32.58,1012.58,69.98,GOOD,normal,0
2026-08-02T10:00:00+00:00,AWS-P-003,Panvel,33.25,1012.15,68.72,GOOD,normal,0
2026-08-02T11:00:00+00:00,AWS-P-003,Panvel,33.45,1013.22,67.92,GOOD,normal,0
2026-08-02T12:00:00+00:00,AWS-P-003,Panvel,33.09,1011.43,67.33,GOOD,normal,0
2026-08-02T13:00:00+00:00,AWS-P-003,Panvel,32.74,1013.09,66.93,GOOD,normal,0
2026-08-02T14:00:00+00:00,AWS-P-003,Panvel,32.34,1012.73,67.51,GOOD,normal,0
2026-08-02T15:00:00+00:00,AWS-P-003,Panvel,31.3,1011.41,70.36,GOOD,normal,0
2026-08-02T16:00:00+00:00,AWS-P-003,Panvel,31.69,1012.19,68.61,GOOD,normal,0
2026-08-02T17:00:00+00:00,AWS-P-003,Panvel,30.15,1012.33,74.05,GOOD,normal,0
2026-08-02T18:00:00+00:00,AWS-P-003,Panvel,29.18,1012.12,73.37,GOOD,normal,0
2026-08-02T19:00:00+00:00,AWS-P-003,Panvel,28.58,1013.11,76.53,GOOD,normal,0
2026-08-02T20:00:00+00:00,AWS-P-003,Panvel,27.35,1013.3,78.12,GOOD,normal,0
2026-08-02T21:00:00+00:00,AWS-P-003,Panvel,26.86,1012.84,78.31,GOOD,normal,0
2026-08-02T22:00:00+00:00,AWS-P-003,Panvel,26.2,1012.62,81.58,GOOD,normal,0
2026-08-02T23:00:00+00:00,AWS-P-003,Panvel,26.15,1013.24,81.65,GOOD,normal,0
2026-08-03T00:00:00+00:00,AWS-P-003,Panvel,25.41,1012.5,82.35,GOOD,normal,0
2026-08-03T01:00:00+00:00,AWS-P-003,Panvel,25.1,1011.98,83.44,GOOD,normal,0
2026-08-03T02:00:00+00:00,AWS-P-003,Panvel,26.03,1011.65,82.95,GOOD,normal,0
2026-08-03T03:00:00+00:00,AWS-P-003,Panvel,26.68,1012.67,80.5,GOOD,normal,0
2026-08-03T04:00:00+00:00,AWS-P-003,Panvel,27.51,1012.52,80.45,GOOD,normal,0
2026-08-03T05:00:00+00:00,AWS-P-003,Panvel,27.95,1011.72,75.01,GOOD,normal,0
2026-08-03T06:00:00+00:00,AWS-P-003,Panvel,28.71,1012.64,75.99,GOOD,normal,0
2026-08-03T07:00:00+00:00,AWS-P-003,Panvel,30.64,1012.15,72.83,GOOD,normal,0
2026-08-03T08:00:00+00:00,AWS-P-003,Panvel,31.07,1012.11,73.2,GOOD,normal,0
2026-08-03T09:00:00+00:00,AWS-P-003,Panvel,32.09,1012.51,67.44,GOOD,normal,0
2026-08-03T10:00:00+00:00,AWS-P-003,Panvel,33.16,1014.16,67.58,GOOD,normal,0
2026-08-03T11:00:00+00:00,AWS-P-003,Panvel,33.07,1012.75,65.55,GOOD,normal,0
2026-08-03T12:00:00+00:00,AWS-P-003,Panvel,33.46,1012.21,68.59,GOOD,normal,0
2026-08-03T13:00:00+00:00,AWS-P-003,Panvel,33.18,1012.93,67.16,GOOD,normal,0
2026-08-03T14:00:00+00:00,AWS-P-003,Panvel,32.89,1012.03,68.84,GOOD,normal,0
2026-08-03T15:00:00+00:00,AWS-P-003,Panvel,31.84,1011.86,69.35,GOOD,normal,0
2026-08-03T16:00:00+00:00,AWS-P-003,Panvel,30.98,1011.13,69.86,GOOD,normal,0
2026-08-03T17:00:00+00:00,AWS-P-003,Panvel,31.16,1011.86,73.52,GOOD,normal,0
2026-08-03T18:00:00+00:00,AWS-P-003,Panvel,29.31,1012.35,76.47,GOOD,normal,0
2026-08-03T19:00:00+00:00,AWS-P-003,Panvel,28.37,1011.75,76.69,GOOD,normal,0
2026-08-03T20:00:00+00:00,AWS-P-003,Panvel,27.5,1012.97,82.1,GOOD,normal,0
2026-08-03T21:00:00+00:00,AWS-P-003,Panvel,26.31,1011.98,81.49,GOOD,normal,0
2026-08-03T22:00:00+00:00,AWS-P-003,Panvel,25.76,1011.43,82.61,GOOD,normal,0
2026-08-03T23:00:00+00:00,AWS-P-003,Panvel,25.37,1012.06,84.1,GOOD,normal,0
2026-08-04T00:00:00+00:00,AWS-P-003,Panvel,24.89,1011.45,82.11,GOOD,normal,0
2026-08-04T01:00:00+00:00,AWS-P-003,Panvel,25.22,1011.5,81.87,GOOD,normal,0
2026-08-04T02:00:00+00:00,AWS-P-003,Panvel,26.0,1011.37,81.49,GOOD,normal,0
2026-08-04T03:00:00+00:00,AWS-P-003,Panvel,26.34,1011.1,83.4,GOOD,normal,0
2026-08-04T04:00:00+00:00,AWS-P-003,Panvel,26.95,1011.04,77.02,GOOD,normal,0
2026-08-04T05:00:00+00:00,AWS-P-003,Panvel,28.38,1010.77,77.69,GOOD,normal,0
2026-08-04T06:00:00+00:00,AWS-P-003,Panvel,29.87,1010.34,73.61,GOOD,normal,0
2026-08-04T07:00:00+00:00,AWS-P-003,Panvel,30.07,1011.16,71.99,GOOD,normal,0
2026-08-04T08:00:00+00:00,AWS-P-003,Panvel,31.86,1010.17,68.96,GOOD,normal,0
2026-08-04T09:00:00+00:00,AWS-P-003,Panvel,32.14,1011.36,67.65,GOOD,normal,0
2026-08-04T10:00:00+00:00,AWS-P-003,Panvel,32.35,1009.83,67.33,GOOD,normal,0
2026-08-04T11:00:00+00:00,AWS-P-003,Panvel,32.77,1011.44,68.76,GOOD,normal,0
2026-08-04T12:00:00+00:00,AWS-P-003,Panvel,33.5,1010.21,69.44,GOOD,normal,0
