timestamp,station_id,city,temperature,pressure,humidity,quality,event,fault_label
2026-08-01T00:00:00+00:00,AWS-W-003,Wardha,25.29,975.2,59.51,GOOD,normal,0
2026-08-01T01:00:00+00:00,AWS-W-003,Wardha,25.26,975.51,58.95,GOOD,normal,0
2026-08-01T02:00:00+00:00,AWS-W-003,Wardha,25.86,974.59,58.73,GOOD,normal,0
2026-08-01T03:00:00+00:00,AWS-W-003,Wardha,26.35,974.06,55.27,GOOD,normal,0
2026-08-01T04:00:00+00:00,AWS-W-003,Wardha,27.49,975.02,55.22,GOOD,normal,0
2026-08-01T05:00:00+00:00,AWS-W-003,Wardha,27.97,975.37,53.37,GOOD,normal,0
2026-08-01T06:00:00+00:00,AWS-W-003,Wardha,29.53,976.07,52.84,GOOD,normal,0
2026-08-01T07:00:00+00:00,AWS-W-003,Wardha,31.02,975.84,47.69,GOOD,normal,0
2026-08-01T08:00:00+00:00,AWS-W-003,Wardha,30.93,976.54,46.38,GOOD,normal,0
2026-08-01T09:00:00+00:00,AWS-W-003,Wardha,31.98,976.92,48.5,GOOD,normal,0
2026-08-01T10:00:00+00:00,AWS-W-003,Wardha,32.73,975.6,44.17,GOOD,normal,0
2026-08-01T11:00:00+00:00,AWS-W-003,Wardha,32.8,974.96,43.65,GOOD,normal,0
2026-08-01T12:00:00+00:00,AWS-W-003,Wardha,33.74,976.7,44.6,GOOD,normal,0
2026-08-01T13:00:00+00:00,AWS-W-003,Wardha,33.29,976.13,45.68,GOOD,normal,0
2026-08-01T14:00:00+00:00,AWS-W-003,Wardha,32.75,976.95,45.91,GOOD,normal,0
2026-08-01T15:00:00+00:00,AWS-W-003,Wardha,32.37,976.49,43.2,GOOD,normal,0
2026-08-01T16:00:00+00:00,AWS-W-003,Wardha,31.39,977.32,49.21,GOOD,normal,0
2026-08-01T17:00:00+00:00,AWS-W-003,Wardha,30.11,976.6,49.12,GOOD,normal,0
2026-08-01T18:00:00+00:00,AWS-W-003,Wardha,30.16,977.08,52.14,GOOD,normal,0
2026-08-01T19:00:00+00:00,AWS-W-003,Wardha,28.08,977.48,57.42,GOOD,normal,0
2026-08-01T20:00:00+00:00,AWS-W-003,Wardha,27.68,976.37,55.75,GOOD,normal,0
2026-08-01T21:00:00+00:00,AWS-W-003,Wardha,26.49,977.08,59.29,GOOD,normal,0
2026-08-01T22:00:00+00:00,AWS-W-003,Wardha,26.01,977.71,59.81,GOOD,normal,0
2026-08-01T23:00:00+00:00,AWS-W-003,Wardha,24.7,976.8,59.75,GOOD,normal,0
2026-08-02T00:00:00+00:00,AWS-W-003,Wardha,25.34,977.02,59.98,GOOD,normal,0
2026-08-02T01:00:00+00:00,AWS-W-003,Wardha,25.66,977.73,59.53,GOOD,normal,0
2026-08-02T02:00:00+00:00,AWS-W-003,Wardha,25.95,977.06,57.95,GOOD,normal,0
2026-08-02T03:00:00+00:00,AWS-W-003,Wardha,26.8,976.48,57.57,GOOD,normal,0
2026-08-02T04:00:00+00:00,AWS-W-003,Wardha,27.49,977.58,56.75,GOOD,normal,0
2026-08-02T05:00:00+00:00,AWS-W-003,Wardha,27.74,977.28,54.29,GOOD,normal,0
2026-08-02T06:00:00+00:00,AWS-W-003,Wardha,28.81,977.87,48.22,GOOD,normal,0
2026-08-02T07:00:00+00:00,AWS-W-003,Wardha,30.22,979.05,48.64,GOOD,normal,0
2026-08-02T08:00:00+00:00,AWS-W-003,Wardha,31.25,978.08,47.15,GOOD,normal,0
2026-08-02T09:00:00+00:00,AWS-W-003,Wardha,32.05,978.83,46.83,GOOD,normal,0
2026-08-02T10:00:00+00:00,AWS-W-003,Wardha,33.28,978.23,44.64,GOOD,normal,0
2026-08-02T11:00:00+00:00,AWS-W-003,Wardha,33.06,978.3,42.65,GOOD,normal,0
2026-08-02T12:00:00+00:00,AWS-W-003,Wardha,33.13,978.4,45.56,GOOD,normal,0
2026-08-02T13:00:00+00:00,AWS-W-003,Wardha,32.29,978.3,43.34,GOOD,normal,0
2026-08-02T14:00:00+00:00,AWS-W-003,Wardha,33.1,977.25,43.74,GOOD,normal,0
2026-08-02T15:00:00+00:00,AWS-W-003,Wardha,32.7,978.24,44.32,GOOD,normal,0
2026-08-02T16:00:00+00:00,AWS-W-003,Wardha,31.23,978.87,49.02,GOOD,normal,0
2026-08-02T17:00:00+00:00,AWS-W-003,Wardha,31.04,978.77,51.24,GOOD,normal,0
2026-08-02T18:00:00+00:00,AWS-W-003,Wardha,29.2,978.47,52.26,GOOD,normal,0
2026-08-02T19:00:00+00:00,AWS-W-003,Wardha,28.41,977.18,53.28,GOOD,normal,0
2026-08-02T20:00:00+00:00,AWS-W-003,Wardha,27.24,978.72,57.0,GOOD,normal,0
2026-08-02T21:00:00+00:00,AWS-W-003,Wardha,25.94,978.15,58.29,GOOD,normal,0
2026-08-02T22:00:00+00:00,AWS-W-003,Wardha,25.97,978.64,59.73,GOOD,normal,0
2026-08-02T23:00:00+00:00,AWS-W-003,Wardha,25.3,977.77,58.36,GOOD,normal,0
2026-08-03T00:00:00+00:00,AWS-W-003,Wardha,25.35,977.53,59.69,GOOD,normal,0
2026-08-03T01:00:00+00:00,AWS-W-003,Wardha,25.15,978.48,55.23,GOOD,normal,0
2026-08-03T02:00:00+00:00,AWS-W-003,Wardha,25.51,978.71,58.37,GOOD,normal,0
2026-08-03T03:00:00+00:00,AWS-W-003,Wardha,26.22,977.85,57.8,GOOD,normal,0
2026-08-03T04:00:00+00:00,AWS-W-003,Wardha,26.8,979.39,58.32,GOOD,normal,0
2026-08-03T05:00:00+00:00,AWS-W-003,Wardha,27.9,977.8,54.57,GOOD,normal,0
2026-08-03T06:00:00+00:00,AWS-W-003,Wardha,29.38,978.58,53.31,GOOD,normal,0
